 0.600  0.100  0.070	 0.600  0.100  0.070	 0.039  1.541 -0.010	 0.048 -0.005 -0.147	0.01520
 0.600  0.050  0.070	 0.600  0.050  0.071	-0.001  1.571  0.000	 0.047 -0.011 -0.147	0.01594
 0.600  0.000  0.070	 0.600 -0.000  0.070	-0.010  1.532  0.006	 0.047 -0.012 -0.145	0.01611
 0.600 -0.050  0.070	 0.600 -0.051  0.069	 0.004  1.582  0.028	 0.044 -0.024 -0.147	0.01918
 0.600 -0.100  0.070	 0.599 -0.100  0.070	-0.030  1.561  0.010	 0.043 -0.026 -0.146	0.01984
 0.600 -0.150  0.070	 0.600 -0.150  0.070	-0.024  1.502 -0.036	 0.041 -0.034 -0.146	0.02170
 0.600 -0.200  0.070	 0.600 -0.200  0.070	 0.002  1.567 -0.003	 0.040 -0.043 -0.148	0.02327
 0.600 -0.250  0.070	 0.600 -0.250  0.070	 0.000  1.571 -0.000	 0.037 -0.052 -0.149	0.02609
 0.600 -0.300  0.070	 0.599 -0.300  0.069	-0.021  1.519 -0.042	 0.034 -0.059 -0.150	0.02746
 0.600 -0.350  0.070	 0.600 -0.349  0.070	-0.048  1.482 -0.093	 0.039 -0.062 -0.151	0.02208
 0.600 -0.400  0.070	 0.599 -0.399  0.070	-0.092  1.441 -0.169	 0.047 -0.064 -0.152	0.01628
 0.600 -0.450  0.070	 0.600 -0.450  0.070	-0.334  1.205 -0.327	 0.060 -0.058 -0.154	0.00335
 0.600 -0.500  0.070	 0.587 -0.482  0.082	-0.816  0.975 -0.516	 0.057 -0.062 -0.154	0.00588
 0.650  0.500  0.070	 0.650  0.500  0.070	 0.061  1.437  0.133	 0.068  0.064 -0.153	-0.00466
 0.650  0.450  0.070	 0.650  0.450  0.070	 0.018  1.512  0.019	 0.068  0.059 -0.152	-0.00475
 0.650  0.400  0.070	 0.650  0.399  0.070	 0.004  1.564 -0.001	 0.065  0.048 -0.149	-0.00247
 0.650  0.350  0.070	 0.650  0.350  0.071	-0.001  1.572  0.001	 0.062  0.047 -0.148	0.00133
 0.650  0.300  0.070	 0.650  0.300  0.069	 0.024  1.519 -0.012	 0.065  0.019 -0.151	-0.00193
 0.650  0.250  0.070	 0.649  0.251  0.070	 0.018  1.478 -0.008	 0.065  0.017 -0.150	-0.00163
 0.650  0.200  0.070	 0.650  0.200  0.070	 0.026  1.618  0.016	 0.059  0.022 -0.146	0.00353
 0.650  0.150  0.070	 0.649  0.150  0.070	-0.000  1.571  0.000	 0.064  0.016 -0.148	-0.00113
 0.650  0.100  0.070	 0.649  0.100  0.069	-0.004  1.545  0.005	 0.062 -0.002 -0.150	0.00114
 0.650  0.050  0.070	 0.651  0.050  0.070	 0.000  1.571  0.000	 0.063  0.004 -0.147	0.00013
 0.650  0.000  0.070	 0.651  0.001  0.070	-0.000  1.571  0.000	 0.060 -0.001 -0.145	0.00253
 0.650 -0.050  0.070	 0.649 -0.050  0.070	-0.018  1.557 -0.003	 0.050 -0.028 -0.148	0.01287
 0.650 -0.100  0.070	 0.650 -0.100  0.069	-0.005  1.548 -0.001	 0.051 -0.032 -0.150	0.01164
 0.650 -0.150  0.070	 0.650 -0.149  0.070	 0.001  1.571 -0.004	 0.056 -0.034 -0.149	0.00719
 0.650 -0.200  0.070	 0.650 -0.200  0.070	 0.010  1.605  0.005	 0.053 -0.043 -0.149	0.01007
 0.650 -0.250  0.070	 0.649 -0.250  0.070	-0.007  1.553 -0.018	 0.049 -0.051 -0.150	0.01349
 0.650 -0.300  0.070	 0.649 -0.300  0.070	-0.040  1.476 -0.078	 0.048 -0.056 -0.151	0.01451
 0.650 -0.350  0.070	 0.650 -0.350  0.070	-0.037  1.424 -0.162	 0.055 -0.057 -0.152	0.00767
 0.650 -0.400  0.070	 0.637 -0.390  0.075	-0.183  1.442 -0.219	 0.058 -0.058 -0.153	0.00534
 0.650 -0.450  0.070	 0.632 -0.434  0.082	-0.256  1.249 -0.283	 0.063 -0.056 -0.153	-0.00054
 0.650 -0.500  0.070	 0.621 -0.450  0.099	-0.444  1.192 -0.391	 0.062 -0.057 -0.152	0.00092
 0.700  0.500  0.070	 0.700  0.500  0.070	 0.202  1.271  0.178	 0.069  0.074 -0.157	-0.00469
 0.700  0.450  0.070	 0.699  0.449  0.070	 0.050  1.435  0.097	 0.073  0.062 -0.154	-0.01030
 0.700  0.400  0.070	 0.699  0.400  0.070	 0.039  1.487 -0.004	 0.074  0.053 -0.153	-0.01063
 0.700  0.350  0.070	 0.699  0.350  0.070	 0.020  1.523  0.001	 0.074  0.038 -0.151	-0.01146
 0.700  0.300  0.070	 0.700  0.299  0.070	-0.003  1.524  0.002	 0.074  0.031 -0.151	-0.01139
 0.700  0.250  0.070	 0.700  0.249  0.070	-0.044  1.552  0.023	 0.065  0.036 -0.147	-0.00238
 0.700  0.200  0.070	 0.700  0.200  0.070	-0.011  1.575  0.009	 0.075  0.019 -0.150	-0.01193
 0.700  0.150  0.070	 0.700  0.149  0.070	-0.000  1.571 -0.000	 0.071  0.005 -0.150	-0.00800
 0.700  0.100  0.070	 0.699  0.099  0.071	-0.000  1.571  0.001	 0.069  0.002 -0.149	-0.00637
 0.700  0.050  0.070	 0.700  0.050  0.070	-0.007  1.540  0.008	 0.066 -0.006 -0.149	-0.00277
 0.700  0.000  0.070	 0.700  0.000  0.070	 0.000  1.572  0.001	 0.065 -0.003 -0.146	-0.00209
